id,имя,раса,размер,уровень,диапазон уровней,мощь,здоровье,тип удара,урон,второй удар,сила удара игровая,сила,выносливость,ловкость,точность,ум,воля,ведёт,пробитие,что открывает,модель оружия
1237,Werecrab,animal,Medium,28,,578,929,режущий,"33-47,",,80,11,16,29,16,4,4,ловкость,93,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2,есть
1525,LizardmanPredator,lizard,Medium,30,,178,156,дробящий,"20-37,","дробящий 20-37,",120,12,16,30,16,4,4,ловкость,96,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2; полулаты Т2,нет
1476,MysticPillar,none,Medium,30,,282,1000,,,,70,12,16,30,16,4,4,ловкость,96,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2; полулаты Т2,нет
1234,Undertaker,undead,Medium,30,,227,312,режущий,"20-33,",,70,12,16,30,16,4,4,ловкость,96,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2; полулаты Т2,есть
1208,Weresnake,lizard,Medium,30,,159,499,режущий,"28-37,","режущий 28-37,",55,12,16,30,16,4,4,ловкость,96,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2; полулаты Т2,есть
1526,LizardmanSpearman,lizard,Medium,31,,170,156,режущий,"9-17,","режущий 9-17,",120,12,16,30,16,5,5,ловкость,96,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2; полулаты Т2,есть
1184,Chameleon,lizard,Medium,32,,109,472,колющий,"23-41,",,300,12,16,31,16,5,5,ловкость,99,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2; полулаты Т2,есть
1866,CorruptedStag,animal,Medium,33,,49,891,колющий,"46-58,",,150,12,17,31,17,5,5,ловкость,99,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2; полулаты Т2,нет
1527,LizardmanWarrior,lizard,Medium,33,,202,157,дробящий,"20-37,","дробящий 20-37,",120,12,17,31,17,5,5,ловкость,99,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2; полулаты Т2,нет
1867,CorruptedWolf,animal,Medium,34,,64,846,колющий,"41-56,",,30,12,17,32,17,5,5,ловкость,102,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2; полулаты Т2,нет
1406,TheLeaderOfFishmans,lizard,Medium,34,,248,240,дробящий,"6-10,","дробящий 6-10,",25,12,17,32,17,5,5,ловкость,102,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2; полулаты Т2,нет
1654,AncientElfConstruct,mythological,Medium,35,,1203,2061,,,,200,12,17,32,17,5,5,ловкость,102,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2; полулаты Т2,нет
1675,GiantViperKing,animal,Medium,35,,612,907,яд,"37-52,",,30,12,17,32,17,5,5,ловкость,102,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2; полулаты Т2,есть
1865,CorruptedBoar,animal,Medium,36,,78,961,колющий,23-33,"дробящий 23-33,",200,12,17,32,17,5,5,ловкость,102,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2; полулаты Т2,нет
1586,SerpentWarrior,lizard,Medium,36,,381,412,режущий,"32-44,",,100,12,17,32,17,5,5,ловкость,102,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2; полулаты Т2,нет
1868,CorruptedWolfKing,animal,Medium,37,,108,1078,колющий,"50-58,",,50,12,17,33,17,5,5,ловкость,106,ткань Т5; кожа Т5; кольчуга Т2; чешуя Т2; полулаты Т2,нет
1450,Harvester,undead,Medium,39,,548,641,режущий,22-29,"холод 19-24,",100,13,18,34,18,5,5,ловкость,109,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т2; полулаты Т2,есть
1879,LavaLizardmanPredator,lizard,Medium,39,,178,1281,дробящий,36-47,"огонь 31-43,",200,13,18,34,18,5,5,ловкость,109,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т2; полулаты Т2,нет
1561,Damien (UndeadKnightDamien),undead,Medium,40,,392,300,дробящий,"6-10,","дробящий 6-10,",25,13,18,34,18,5,5,ловкость,109,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т2; полулаты Т2,нет
1853,Hesperia,mythological,Medium,40,,801,900,дробящий,"6-10,","дробящий 6-10,",25,13,18,34,18,5,5,ловкость,109,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т2; полулаты Т2,нет
1880,LavaLizardmanSpearman,lizard,Medium,41,,170,1294,режущий,"9-18,","режущий 9-18,",200,13,18,34,18,5,5,ловкость,109,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т2; полулаты Т2,есть
1583,MummyPriest,undead,Medium,41,,752,1186,режущий,"51-68,",,100,13,18,34,18,5,5,ловкость,109,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т2; полулаты Т2,нет
1881,LavaLizardmanWarrior,lizard,Medium,42,,202,1294,дробящий,"21-37,","дробящий 21-37,",200,13,18,35,18,5,5,ловкость,112,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т2; полулаты Т2,нет
1544,Dog (Dog_ToyTerrier),animal,Small,1,,33,70,колющий,"2-6,",,30,3,4,16,12,2,2,ловкость,48,ткань Т5; кожа Т3,нет
1019,Giant Rat (Giant rat),animal,Small,1,,36,90,колющий,"10-16,",,20,3,4,16,12,2,2,ловкость,48,ткань Т5; кожа Т3,нет
1327,Bat,animal,Small,2,,93,80,режущий,"10-17,","режущий 8-12,",35,3,4,17,12,2,2,ловкость,51,ткань Т5; кожа Т3,есть
1534,Dog (Dog_Corgi),animal,Small,2,,33,100,колющий,"8-16,",,30,3,4,17,12,2,2,ловкость,51,ткань Т5; кожа Т3,нет
1542,Dog (Dog_Pug),animal,Small,2,,33,100,колющий,"7-14,",,30,3,4,17,12,2,2,ловкость,51,ткань Т5; кожа Т3,нет
1166,Spider,insect,Small,8,,109,280,колющий,"18-26,",,50,3,5,18,14,2,2,ловкость,54,ткань Т5; кожа Т4,нет
